text,createTime,diggCount,shareCount,playCount,commentCount,mentions,authorMeta.name,authorMeta.nickName,authorMeta.verified,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,videoMeta.height,videoMeta.width,videoMeta.duration,hashtags.name,hashtags.title
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,1600786063,1086,32,48000,29,,marc.koolen,Marc,False,origineel geluid,Marc,True,1024,576,15,sportschool,
තරහයිද මා එක්ක 🥺 අත දැම්මානේ 😡,1603023956,720,0,11300,15,,himalkekulawala,Himal Kekulawala,False,Original Sound,Unknown,False,960,540,13,,
where my selfish bottoms at? #fyp #voorjou #netherlands #grindr #gay,1604856417,2053,62,46800,42,,orangepotato56,👑,False,Blow Your Mind (Mwahchallenge),Dua Lipa,False,1024,576,7,fyp,
where my selfish bottoms at? #fyp #voorjou #netherlands #grindr #gay,1604856417,2053,62,46800,42,,orangepotato56,👑,False,Blow Your Mind (Mwahchallenge),Dua Lipa,False,1024,576,7,voorjou,
where my selfish bottoms at? #fyp #voorjou #netherlands #grindr #gay,1604856417,2053,62,46800,42,,orangepotato56,👑,False,Blow Your Mind (Mwahchallenge),Dua Lipa,False,1024,576,7,netherlands,🇳🇱 Hi Netherlands🇳🇱
where my selfish bottoms at? #fyp #voorjou #netherlands #grindr #gay,1604856417,2053,62,46800,42,,orangepotato56,👑,False,Blow Your Mind (Mwahchallenge),Dua Lipa,False,1024,576,7,grindr,
where my selfish bottoms at? #fyp #voorjou #netherlands #grindr #gay,1604856417,2053,62,46800,42,,orangepotato56,👑,False,Blow Your Mind (Mwahchallenge),Dua Lipa,False,1024,576,7,gay,
#fyp #foryou #xyzbca #foryoupage #boyfriend,1603449941,1251,46,50400,27,,x.maruska0475,m-0475,False,origineel geluid,Selena ,True,1024,576,9,fyp,
#fyp #foryou #xyzbca #foryoupage #boyfriend,1603449941,1251,46,50400,27,,x.maruska0475,m-0475,False,origineel geluid,Selena ,True,1024,576,9,foryou,
#fyp #foryou #xyzbca #foryoupage #boyfriend,1603449941,1251,46,50400,27,,x.maruska0475,m-0475,False,origineel geluid,Selena ,True,1024,576,9,xyzbca,
#fyp #foryou #xyzbca #foryoupage #boyfriend,1603449941,1251,46,50400,27,,x.maruska0475,m-0475,False,origineel geluid,Selena ,True,1024,576,9,foryoupage,
#fyp #foryou #xyzbca #foryoupage #boyfriend,1603449941,1251,46,50400,27,,x.maruska0475,m-0475,False,origineel geluid,Selena ,True,1024,576,9,boyfriend,
Reply to @mvo97 #gains #bodybuilding #training,1600796968,389,0,22000,19,@mvo97,marqsheino,Markus Heinonen,False,EverybodyMakesMistakes,Jason Wolbert,True,1024,576,5,gains,
Reply to @mvo97 #gains #bodybuilding #training,1600796968,389,0,22000,19,@mvo97,marqsheino,Markus Heinonen,False,EverybodyMakesMistakes,Jason Wolbert,True,1024,576,5,bodybuilding,
Reply to @mvo97 #gains #bodybuilding #training,1600796968,389,0,22000,19,@mvo97,marqsheino,Markus Heinonen,False,EverybodyMakesMistakes,Jason Wolbert,True,1024,576,5,training,
Can't he be lucky for one time?? #fyp #fy #foryoupage #foryou #voorjou #formula1 #f1 #racing #maxverstappen #redbullracing #crash #dnf #badluck #imola,1604247197,4734,55,55100,306,,dyon.b,Dyon,False,hometown slowed down twenty one pilots,les,True,1024,576,22,fyp,
Can't he be lucky for one time?? #fyp #fy #foryoupage #foryou #voorjou #formula1 #f1 #racing #maxverstappen #redbullracing #crash #dnf #badluck #imola,1604247197,4734,55,55100,306,,dyon.b,Dyon,False,hometown slowed down twenty one pilots,les,True,1024,576,22,fy,
Can't he be lucky for one time?? #fyp #fy #foryoupage #foryou #voorjou #formula1 #f1 #racing #maxverstappen #redbullracing #crash #dnf #badluck #imola,1604247197,4734,55,55100,306,,dyon.b,Dyon,False,hometown slowed down twenty one pilots,les,True,1024,576,22,foryoupage,
Can't he be lucky for one time?? #fyp #fy #foryoupage #foryou #voorjou #formula1 #f1 #racing #maxverstappen #redbullracing #crash #dnf #badluck #imola,1604247197,4734,55,55100,306,,dyon.b,Dyon,False,hometown slowed down twenty one pilots,les,True,1024,576,22,foryou,
Can't he be lucky for one time?? #fyp #fy #foryoupage #foryou #voorjou #formula1 #f1 #racing #maxverstappen #redbullracing #crash #dnf #badluck #imola,1604247197,4734,55,55100,306,,dyon.b,Dyon,False,hometown slowed down twenty one pilots,les,True,1024,576,22,voorjou,
Can't he be lucky for one time?? #fyp #fy #foryoupage #foryou #voorjou #formula1 #f1 #racing #maxverstappen #redbullracing #crash #dnf #badluck #imola,1604247197,4734,55,55100,306,,dyon.b,Dyon,False,hometown slowed down twenty one pilots,les,True,1024,576,22,formula1,Ever dreamed of being one of the characters in The Fast and the Furious? Now you can be Fast and Furious too with our race track sticker! Capture exciting moments of the Singapore Grand Prix this weekend with us 😍🏎️
